date,comment
2024-02-08T03:23:54+0000,Its that time of the year again and I know lots of people are ready to move on from SV So rumors and obviously fake leaks are starting to pop up like mushrooms again leading towards Pokemon DayWith SV having references to Unova and Johto its only natural one would think were revisitng either Gen 2 or Gen 5 Also to isolate actual game discussion from all of this I made this thread Feel free to post the socalled rumors and leaks posted by your fathers brothers cousins neighbor who works at Nintendo and actually not GameFreakMy thoughtsPersonally I just want a proper remake that adds more to what we already had rather than stepping back Im looking at you BDSP In case of Gen 2 I just want an improved HGSS In case of Gen 5 improvements from B2W2 to be present in BW If were getting Legends then just improve on what Arceus hadGraphicwise for remakes I am okay with Lets Go style emphasis on art direction not gameplayEDIT Weve been bamboozled We got Pokemon Z
2024-02-08T03:35:04+0000,Whether its Gen 2 or 5 Im curious if theyll be any new regional forms
2024-02-08T04:36:07+0000,If we get Legends prequels or sequels to those Gens instead of remakes then I could see more regional forms As well as convergent Pokemon
2024-02-08T05:18:05+0000,Well should there be a game announced for 2024 it can go a number of waysGen II Pokmon Legends Celebi Pokmon Lets GO JohtoGen V Pokmon Black White Remakes not very likely Pokmon Legends KyuremGen IXPokmon Scarlet Violet Expansion 2SpinOffPokkn Tournament 2New Pokmon Mystery Dungeon TitleAnd even then I could be entirely wrong about all of these lol
2024-02-08T06:00:08+0000,I wonder if theres going to be an anime based on Pokemon Legends And if theres going to be another special focused on Pokmon mystery dungeon with the natural voices of the Pokemon
2024-02-08T12:09:24+0000,My ideal wants for Pokemon Presents this year and Pokemon for the next couple years would bePokemon Presents 2024Focused on all current mobile games Masters Unite Cafe Remix Sleep and GOSV updates raids mass outbreaks and mythical Pokemon events rumour are pointing to at least one more mythical remainsNew Pokemon Mystery Dungeon game that includes Pokemon gens 79Teaser trailer projects next yearPokemon Presents 2025Quick run through on current mobile games Masters Unite Cafe Remix Sleep and GOLegends game set in Unova new Unovan forms evolutions and convergent Pokemon alike SpringEarly Summer releaseDual Black and Dual White which would be visually updated versions of the Lets Go games but mechanically being updated traditional Pokemon games They would have both the plots of BW and BW2 in them and possibly a new epilogue chapter Winter releasePokemon Presents 2026Quick run through on current mobile games Masters Unite Cafe Remix Sleep and GOGen 10 is announced for winter release
2024-02-08T12:47:02+0000,Despite me wishing GF would take longer between releases I think were going to get a core game reveal We havent had a proper gap year since 2015 so theyre becoming increasingly uncommon and last year had DLC instead of an actual new gameI dont really know what to expect Im guessing something either Johto or Unovarelated but have no idea about shape or form Hoping for something Legendslike I expect whatever games we get this year to also be on the Switch regardless of when the Switch 2 actually comes out or even is revealedAssuming we get a Pokmon Direct which has been the norm for a while I expect like half of it to be dedicated to mobile games that I dont care about personally Wouldnt be surprised if there was also some new anime seeing how many different short series we have gotten in the last few yearsAs for wishes Id love something along New Snap a revived spinoff that gets a proper new installment on the Switch Not really interested in old games getting rereleased if theyre going to be part of the NSO Expansion Pack
2024-02-08T13:29:27+0000,Give me BW remakes they are perfect as is imo so I would like that with some minor upgrades like character customizationAnd maybe something like legends of arceus but for BWPass on everything else
2024-02-08T14:20:47+0000,Personally the only thing I want new gamewise right now is for a Black and White 3 esque game with the first two dropping in virtual console Or a Legendsesque game that serve as such even without that name would work too
2024-02-08T15:13:16+0000,Everything feels like theyre heavily hinting at Gen 2 and Gen 5 in equal measure which is a little strange Usually they hype the upcoming region before announcing a new remake but its usually only one region Even the TCG sets seem to be pointing in both directions with one set featuring Johto Pokemon and the other Unova It would be cool if we got two games in two different regions that tell one story Think LoZ Oracle of AgesSeasonsWhat I really hope for is a Gen 5 remake that puts the story of Black and White and Black and White 2 into one or a Black and White 3 I dont want it to be a Legendsstyle game
2024-02-08T16:11:06+0000,Bringing out Gen 1 and gen 2 games onto NSO and Gen 3 onto the expansion pass But also have them available for purchase separately
2024-02-08T18:28:10+0000,Johto and Unova are my two favourite regions so I would be excited for either but preferably both to be revisited Theyre also the only regions to not have 3D games yetMy hopes would be no remakes any kind tbh and for Kanto to not feature at all in a Johto game Im okay with a Legends style game would prefer a new story set closer in time to the original games so they can revisit the characters
2024-02-08T18:52:39+0000,An Unovan Legends game set in the equivalent of New York in the 1920s would be cool
2024-02-08T19:34:25+0000,In all honesty if we get a Legends game that takes place in Unova then I think they would set it in the time period with the two heroes and the original dragon
2024-02-08T20:00:52+0000,I think new versions of the Johto games are imminent I dont even care if they are regular or Lets Gostyle I know many are thinking we might get Black and White 1 remakes instead Personally I think that if the Pokemon Company does wanna remake them during the current generation theyll probably release in 2025 for the rumored Switch successor As for potential rereleases of the GB GBC and GBA mainline titles from the first three generations given that the Pokemon Company probably doesnt want the experience to be ruined by restore points theyll probably do a compilation title
2024-02-08T21:33:33+0000,I would love to be able to play remakes of BlackWhite in a full scale 3D world like the SwordShield games but better ofc Keep the changes minimal and since people want to see the original dragon they can add up stuff related to himAs for Johto remakes the previous installments relied too much on Kanto pandering and they would benefit from adding a lot more to the story and expanding the region but Im actually not interesting in revisiting Johto right now
2024-02-08T22:01:25+0000,Assuming we are not getting a major announcement for games for the next generation the most likely stuff I think we are getting are Events for ScarletViolet and the mobile spinoffs If we are getting main series game announcements likely remakes for Johto or Unova or a Legends style game At most just teasers for projects next year
2024-02-08T22:16:53+0000,I honestly find it hard to believe we are still getting anything major for the switch so for this year and pokmon Im think something less ambitious like a lets go title but not exactly that I personally would love a pokmon game set in johto but with a twist like your character not being a trainer going for gym badges but something else just a guy solving problems around the region and maybe toppling and evil team on the way Im aware thats a long shot
2024-02-08T22:29:22+0000,Also Im curious what starters they would pick for a Legends Johto or Unova game I could definitely see Froakie for Johto
2024-02-09T03:17:21+0000,I seriously just wish we could get some new leakers like Kaka already but it seems Khu is teasing Black and White or hes potentially trolling Who knows with this guyHe has been trolling more latelyIm pretty sure there was something about a Paradox Unova and that the SV DLC would heavily tease where were heading next and theres no shortage of references to Unova in the DLC I recall another post from him about Game Freak supposedly not being happy with ILCAAnyway just about 19 more days until Pokemon Day
2024-02-09T04:16:38+0000,I dont think that the next game is going to be a remake nor do I want one
2024-02-09T14:00:32+0000,If it does end up being in Johto or Unova doesnt bother me too much Main thing Id like to see is an new part of the lore explored Legends Arceus gave interesting history to a region we already knew I do think a legends game could be interesting as both regions have a lot of unexplored history But even if not a legends game as long as it explores something that makes the regions feel more interesting
2024-02-10T16:42:24+0000,I have an internal bet with myself that the next announcements are going to be new games either new gen or remakes but they wont mention what console right away I have a nagging feeling we are seeing switch 2 or whatever its going to be called later this year Makes me think TPC and GF have probably been working closely to maximise the switch hardware for SV and the next incarnation will be among the first on the next console
2024-02-10T22:29:32+0000,It definitely wont be a new gen since it hasnt even been two years since the Gen 9 started Not to mention TPC will definitely wait until 2026 the 30th anniversary to release Gen 10If Game Freak isnt releasing anything this year then were definitely getting a major spinoff My guess is either Mystery Dungeon or a sequel to Pokkn Tournament
2024-02-10T23:14:08+0000,I dont think they are releasing Gen 10 in 2026 because that would be a massive financial risk for Game Freak as they would essentially be delaying the entire franchise a year
2024-02-10T23:27:56+0000,Oh no it wont Game Freak and TPC arent even close to having a financial risk especially since the vast majority of revenue comes from merchandise not the gamesGame Freak can actually afford to take their time and they want to TPC just keeps them on a tight schedule At any rate there has always been a main series release on an anniversary and thus I see no reason why that would change2006 10th Anniversary2016 20th Anniversary2021 25th Anniversary2026 30th Anniversary Gen 10If there would ever be a financial risk it would benotreleasing a main series title on the 30th anniversary of the franchise
2024-02-10T23:39:03+0000,I was mostly pushing a new gen back a year specifically to celebrate an anniversary and thus decrease the money that could be made in 2025 I think that the 2026 release might just be the DLC for Gen 10
2024-02-11T01:20:06+0000,Theyre not pushing anything back It would obviously be planned that way as it usually isThere was no main series release in 2005 nor in 2015 The year prior to the anniversary is usually bare
2024-02-11T07:19:10+0000,Things can change now especially considering that they usually stick to the three year gaps for new gens even if they already released a main series game that year as seen with SV So Im expecting Gen 10 in 2025 and the DLC in 2026
2024-02-11T09:37:28+0000,Does anyone else find it exciting how we really have no clue as to what is going to happen I cant think of another year that was so mysterious They could go in so many different directions and there is no telling what direction they are choosing I am very curious
2024-02-11T13:12:46+0000,You know its not just the Pokemon franchise thats being very quiet about the future Nintendo in general is keeping their lips shut in the mist of all these rumors about a new Direct and a successor to the Switch
2024-02-11T14:20:47+0000,Mystery Dungeon would be my number 1 pick Specially if a new one adds the gen 6 gen 9 startersI know gen 6 was on Super but that isnt enough I want my ChespinScorbunnycoupleduo
2024-02-11T17:14:19+0000,In all honesty it would make more sense and be more marketable to have Gen 10 release in 2026 for the 30th anniversary rather then having Gen 10 come out in 2025 and have DLC come out in 2026Plus they can always release a different type of main series game in 2025 like Legends Lets Goremake or a new type entirely Heck if we get a new main series game this year they could release DLC for it in 2025
2024-02-11T17:22:07+0000,That hasnt always been the case Generations 3 and 4 each lasted four years
2024-02-11T18:09:07+0000,Except they dont have to release a new gen in a major anniversary year They already broke that pattern in 2021 when they decided to release Sinnoh remakes instead of jumping straight to Gen 9 for the 25th anniversaryFirst off it was not planned for Gen 3 to be four years Diamond and Pearl was delayed a year and was supposed to come out in 2005 and besides things were different back then Back then Japan got the game a full year before the rest of the world did as they took a year off to localize the new gen instead They took 2003 2007 and 2011 off to instead localize RS DP and BW respectively Also theyve stuck hard to the three year gen even to the point where we had two mainline games come out in the same year with both Legends Arceus and SV coming out in 2022
2024-02-11T18:50:07+0000,Look you can agree to disagree But the way I see it Im thinking were gonna get new versions of the Johto games on the Switch this year then well get remakes of Black and White 1 for the rumored successor in 2025 then Gen 10 in 2026 for the 30th anniversary
2024-02-11T18:51:29+0000,Except that argument doesnt work considering the fact that Pokemon Sword and Shield had come out in 2019 so if they had released Scralet Violet for the 25th anniversary in 2021 that would have meant that Gen 8 would have only lasted two yearsAlso sure they dont have to release a new generation on the anniversary however it something they would likely want to do especially when you consider the fact releasing Gen 10 in 2025 would mean its only a year away from the 30th anniversary and few months away from the startAlso the anniversary that fall on interval of 10 are always a bigger deal then the ones that fall on intervals of 5No matter how you try to argue it releasing and tieing Gen 10 to the 30th anniversary is going to be more marketable then really releasing any other game or DLC that year
2024-02-11T19:06:23+0000,Plus theres VGC and I dont know if people would want to be stuck using Scarlet and Violet for VGC for four years straight Oh yeah and all of the other pieces of the franchise like the anime and TCG depend on the usual three year cycle so that they can more quickly get new Pokmon to market and make merch out of
2024-02-11T20:03:57+0000,This argument doesnt work because they can easily release a new game thats not Gen 10 in 2025 or if a main series game comes out this year then they can do DLC in 2025 to hold us over until Gen 10 in 2026Also if they had no problem sticking the vgc in SwordShield for 3 years having Scarlet Violet be the VGC for 4 years isnt going to make much of a difference
2024-02-11T20:14:34+0000,Not only would there be an extra year involved here but also a completely new console And besides neither BDSP or Legends Arceus were fit for competitive play anyways Legends Arceus didnt even have online battling or trading of any kind
2024-02-11T20:18:06+0000,That really doesnt as the first Pokmon main series for a new console doesnt tend to come out until a year more after the new Console has been releasedAlso BDSP and Legends Arceus being thing proves that they have no problem keeping the VGC in the same games for a while so an extra year isnt going to make that much of a difference
2024-02-11T20:22:22+0000,It would just be stale and lead to lower interest compared to if they just put out Gen 10 in 2025 and have 2026 be the first VGC cycle for it The only way it wouldnt be stale is if they released more SV DLC which I highly doubt
2024-02-11T20:30:56+0000,Not really again they had no problems keeping the Gen 8 VGC stuck in SwordShield for 3 years have Scarlet Violet VGC around for 4 years isnt going to make that much of a difference
2024-02-11T21:41:02+0000,Plus if you recall the pandemic affected Gen 8s VGC
2024-02-11T22:15:23+0000,Yeah Gen 8s VGC was heavily affected by COVID There was no World Championships at all in either 2020 or 2021 due to the pandemic so Sword and Shield really only had one year of VGC Scarlet and Violet wont have that excuse
2024-02-11T23:59:22+0000,Id really like to see remakes for Black and White or a Legends game for Unova or Johto
2024-02-12T01:46:08+0000,All I want for Pokemon Day 2024Switch ports of the Gen 17 gamesBlack 3 and White 3 Set 1520 years after Black 2 and White 2A new Legends gameOne more DLC for Scarlet and Violet
2024-02-12T03:21:11+0000,In the next 35yearsBW trilogyGen 10Then after Gen 10 hopefully Pokmon take a break with new gens and just expand on the 10 regions we have by creating prequels or sequels They can still introduce new Pokmon in each game just say we discovered new species whether completely new regional variants branch evo or convergent speciesAdd new areas new stories new characters new Pokmon and even gimmicks to old regions That would be a great way to expand the lore without creating a new Gen
2024-02-13T16:48:12+0000,Wild Unova speculation incomingThePokmon Company International have announced a special collaboration that will run in New York on Pokmon Day February 27th To celebrate both Pokmon Day and the release of Pokmon Horizons on March 7th the landmark will be lit up in blue and yellow between sunset and 2am ESTAlongside this there will be exclusive Timed Research in Pokmon GO for players nearby which gives Pikachu in a Party Hat as well as event themed PokStops and Lure Modules that will have a chance of attracting Unown
2024-02-13T17:11:47+0000,Im still not thinking were revisiting any past region at all
2024-02-13T19:08:23+0000,you know i wouldnt be mad if they just do another bloated mythicallegendary event like Mewtwo and ZeroaraI just realized I can complete Homes pokedex if I had a Diancie
2024-02-13T19:33:03+0000,Youre asking for a lot for one year lolHonestly we are more likely to get BW3 and a Legends game than we are to get Switch ports of past games especially before the 30th anniversary I dont think we should even waste our time hoping for it
2024-02-13T19:43:43+0000,I think if Switch ports happen it will just be gens 13 since they arent dual screen games
2024-02-13T22:16:19+0000,I think so as well Honestly all I really want is Ruby Sapphire which Im sure can be easily implemented with online compatibility
2024-02-14T02:48:27+0000,That seems like the best scenario I mean for the DS games it seems like theyre just releasing new versions of them as evidenced with Brilliant Diamond and Shining Pearl
2024-02-14T04:24:50+0000,Okay I think the event in New York pretty much tells us where this year is headedI cant imagine TPC choosing New York in particular to host these events and not have anything Unovarelated
