date,comment
2024-02-08T03:23:54+0000,"It's that time of the year again and I know lots of people are ready to move on from SV. So rumors (and obviously fake leaks) are starting to pop up like mushrooms again leading towards Pokemon Day.With SV having 'references' to Unova and Johto, it's only natural one would think we're revisitng either Gen 2 or Gen 5. Also, to isolate actual game discussion from all of this, I made this thread. Feel free to post the so-called rumors and leaks posted by your father's brother's cousin's neighbor who works at Nintendo and actually not GameFreak.--My thoughts...Personally, I just want a proper remake that adds more to what we already had, rather than stepping back (I'm looking at you BDSP). In case of Gen 2, I just want an improved HGSS. In case of Gen 5, improvements from B2W2 to be present in BW. If we're getting Legends, then just improve on what Arceus had.Graphic-wise for remakes, I am okay with Let's Go style (emphasis on art direction, not gameplay).EDIT: We've been bamboozled. We got Pokemon Z."
2024-02-08T03:35:04+0000,Whether it's Gen 2 or 5 I'm curious if they'll be any new regional forms.
2024-02-08T04:36:07+0000,If we get Legends prequels or sequels to those Gens instead of remakes then I could see more regional forms.  As well as convergent Pokemon
2024-02-08T05:18:05+0000,"Well, should there be a  game announced for 2024, it can go a number of ways:Gen II- Pokémon Legends 'Celebi'- Pokémon Let's GO JohtoGen V- Pokémon Black & White Remakes (not very likely)- Pokémon Legends 'Kyurem'Gen IXPokémon Scarlet & Violet Expansion #2Spin-OffPokkén Tournament 2New Pokémon Mystery Dungeon TitleAnd even then, I could be entirely wrong about all of these. lol"
2024-02-08T06:00:08+0000,I wonder if there’s going to be an anime based on Pokemon Legends? And if there’s going to be another special focused on Pokémon mystery dungeon with the natural voices of the Pokemon?
2024-02-08T12:09:24+0000,"My ideal wants for Pokemon Presents this year and Pokemon for the next couple years would be:Pokemon Presents 2024-Focused on all current mobile games (Masters, Unite, Cafe Remix, Sleep and GO)-SV updates (raids, mass outbreaks and mythical Pokemon events (rumour are pointing to at least one more mythical remains))-New Pokemon Mystery Dungeon game that includes Pokemon gens 7-9-Teaser trailer projects next yearPokemon Presents 2025-Quick run through on current mobile games (Masters. Unite, Cafe Remix, Sleep and GO)-Legends game set in Unova, new Unovan forms, evolutions and convergent Pokemon alike. Spring/Early Summer release.-Dual Black and Dual White which would be visually updated versions of the Let's Go games but mechanically being updated traditional Pokemon games. They would have both the plots of BW and BW2 in them and possibly a new epilogue chapter. Winter release.Pokemon Presents 2026-Quick run through on current mobile games (Masters. Unite, Cafe Remix, Sleep and GO)-Gen 10 is announced for winter release"
2024-02-08T12:47:02+0000,"Despite me wishing GF would take longer between releases I think we're going to get a core game reveal. We haven't had a proper gap year since 2015 so they're becoming increasingly uncommon, and last year had DLC instead of an actual new game.I don't really know what to expect, I'm guessing something either Johto or Unova-related, but have no idea about shape or form. Hoping for something Legends-like. I expect whatever games we get this year to also be on the Switch, regardless of when the Switch 2 actually comes out, or even is revealed.Assuming we get a Pokémon Direct, which has been the norm for a while, I expect like half of it to be dedicated to mobile games that I don't care about personally. Wouldn't be surprised if there was also some new anime seeing how many different short series we have gotten in the last few years.As for wishes, I'd love something along New Snap; a revived spin-off that gets a proper new installment on the Switch. Not really interested in old games getting rereleased if they're going to be part of the NSO Expansion Pack."
2024-02-08T13:29:27+0000,Give me BW remakes (they are perfect as is imo so I would like that with some minor upgrades like character customization)And maybe something like legends of arceus but for BW.Pass on everything else.
2024-02-08T14:20:47+0000,"Personally, the only thing I want new game-wise right now is for a Black and White 3 esque game (with the first two dropping in virtual console). Or a Legends-esque game that serve as such even without that name would work too."
2024-02-08T15:13:16+0000,"Everything feels like they're heavily hinting at Gen 2 and Gen 5 in equal measure which is a little strange. Usually, they hype the upcoming region before announcing a new remake but it's usually only one region. Even the TCG sets seem to be pointing in both directions with one set featuring Johto Pokemon and the other Unova. It would be cool if we got two games in two different regions that tell one story. Think LoZ Oracle of Ages/Seasons.What I really hope for is a Gen 5 remake that puts the story of Black and White and Black and White 2 into one, or a Black and White 3. I don't want it to be a Legends-style game."
2024-02-08T16:11:06+0000,Bringing out Gen 1 and gen 2 games onto NSO and Gen 3 onto the expansion pass. But also have them available for purchase separately.
2024-02-08T18:28:10+0000,Johto and Unova are my two favourite regions so I would be excited for either but preferably both to be revisited. They're also the only regions to not have 3D games yet.My hopes would be no remakes (any kind tbh) and for Kanto to not feature at all in a Johto game. I'm okay with a Legends style game would prefer a new story set closer in time to the original games so they can revisit the characters.
2024-02-08T18:52:39+0000,An Unovan Legends game set in the equivalent of New York in the 1920s would be cool.
2024-02-08T19:34:25+0000,In all honesty if we get a Legends game that takes place in Unova then I think they would set it in the time period with the two heroes and the original dragon.
2024-02-08T20:00:52+0000,"I think new versions of the Johto games are imminent. I don't even care if they are regular or Let's Go-style. I know many are thinking we might get Black and White 1 remakes instead. Personally, I think that if the Pokemon Company does wanna remake them during the current generation, they'll probably release in 2025 for the rumored Switch successor. As for potential re-releases of the GB, GBC and GBA mainline titles from the first three generations, given that the Pokemon Company probably doesn't want the experience to be ruined by restore points, they'll probably do a compilation title."
2024-02-08T21:33:33+0000,"I would love to be able to play remakes of  Black/White in a full scale 3D world like the Sword/Shield games, but better ofc. Keep the changes minimal and since people want to see the original dragon, they can add up stuff related to him.As for Johto remakes, the previous installments relied too much on Kanto pandering and they would benefit from adding a lot more to the story and expanding the region, but I’m actually not interesting in revisiting Johto right now."
2024-02-08T22:01:25+0000,"Assuming we are not getting a major announcement for games for the next generation the most likely stuff I think we are getting are:- Events for Scarlet/Violet and the mobile spin-offs.- If we are getting main series game announcements, likely remakes for Johto or Unova or a Legends style game.- At most just teasers for projects next year."
2024-02-08T22:16:53+0000,"I honestly find it hard to believe we are still getting anything major for the switch, so for this year and pokémon I'm think something less ambitious like a let's go title but not exactly that. I personally would love a pokémon game set in johto but with a twist, like your character not being a trainer going for gym badges but something else, just a guy solving problems around the region and maybe toppling and evil team on the way. (I'm aware that's a long shot)"
2024-02-08T22:29:22+0000,"Also, I'm curious what starters they would pick for a Legends Johto or Unova game.  I could definitely see Froakie for Johto."
2024-02-09T03:17:21+0000,"I seriously just wish we could get some new leakers like Kaka already, but it seems Khu is teasing Black and White, or he's potentially trolling. Who knows with this guy...He has been trolling more lately.I'm pretty sure there was something about a ""Paradox Unova"" and that the SV DLC would heavily tease where we're heading next, and there's no shortage of references to Unova in the DLC. I recall another post from him about Game Freak supposedly not being happy with ILCA.Anyway, just about 19 more days until Pokemon Day."
2024-02-09T04:16:38+0000,"I don't think that the next game is going to be a remake, nor do I want one."
2024-02-09T14:00:32+0000,If it does end up being in Johto or Unova doesn't bother me too much. Main thing I'd like to see is an new part of the lore explored. Legends Arceus gave interesting history to a region we already knew. I do think a legends game could be interesting as both regions have a lot of unexplored history. But even if not a legends game as long as it explores something that makes the regions feel more interesting.
2024-02-10T16:42:24+0000,"I have an internal bet with myself that the next announcements are going to be new games, either new gen or remakes… but they won’t mention what console right away. I have a nagging feeling we are seeing switch 2, or whatever it’s going to be called, later this year.  Makes me think TPC and GF have probably been working closely to maximise the switch hardware for S/V and the next incarnation will be among the first on the next console."
2024-02-10T22:29:32+0000,"It definitely won't be a new gen, since it hasn't even been two years since the Gen 9 started. Not to mention TPC will definitely wait until 2026 (the 30th anniversary) to release Gen 10.If Game Freak isn't releasing anything this year, then we're definitely getting a major spin-off. My guess is either Mystery Dungeon or a sequel to Pokkén Tournament."
2024-02-10T23:14:08+0000,I don't think they are releasing Gen 10 in 2026 because that would be a massive financial risk for Game Freak as they would essentially be delaying the entire franchise a year.
2024-02-10T23:27:56+0000,"Oh, no it won't. Game Freak and TPC aren't even close to having a financial risk, especially since the vast majority of revenue comes from merchandise, not the games.Game Freak can actually afford to take their time (and they want to). TPC just keeps them on a tight schedule. At any rate, there has always been a main series release on an anniversary, and thus I see no reason why that would change:2006 (10th Anniversary):2016 (20th Anniversary):2021 (25th Anniversary):2026 (30th Anniversary): Gen 10If there would ever be a financial risk, it would benotreleasing a main series title on the 30th anniversary of the franchise."
2024-02-10T23:39:03+0000,I was mostly pushing a new gen back a year specifically to celebrate an anniversary and thus decrease the money that could be made in 2025. I think that the 2026 release might just be the DLC for Gen 10.
2024-02-11T01:20:06+0000,"They're not pushing anything back. It would obviously be planned that way, as it usually is.There was no main series release in 2005 nor in 2015. The year prior to the anniversary is usually bare."
2024-02-11T07:19:10+0000,"Things can change now, especially considering that they usually stick to the three year gaps for new gens, even if they already released a main series game that year, as seen with SV. So I'm expecting Gen 10 in 2025 and the DLC in 2026."
2024-02-11T09:37:28+0000,"Does anyone else find it exciting how we really have no clue as to what is going to happen? I can't think of another year that was so mysterious. They could go in so many different directions, and there is no telling what direction they are choosing. I am very curious."
2024-02-11T13:12:46+0000,"You know, it's not just the Pokemon franchise that's being very quiet about the future. Nintendo in general is keeping their lips shut in the mist of all these rumors about a new Direct and a successor to the Switch."
2024-02-11T14:20:47+0000,Mystery Dungeon would be my number 1 pick. Specially if a new one adds the gen 6 - gen 9 starters.(I know gen 6 was on Super but that isn't enough. I want my Chespin/Scorbunnycoupleduo
2024-02-11T17:14:19+0000,"In all honesty it would make more sense and be more marketable to have Gen 10 release in 2026 for the 30th anniversary rather then having Gen 10 come out in 2025 and have DLC come out in 2026.Plus they can always release a different type of main series game in 2025 like Legends, Let’s Go,remake, or a new type entirely. Heck if we get a new main series game this year they could release DLC for it  in 2025."
2024-02-11T17:22:07+0000,That hasn't always been the case. Generations 3 and 4 each lasted four years.
2024-02-11T18:09:07+0000,"Except they don't have to release a new gen in a major anniversary year. They already broke that pattern in 2021, when they decided to release Sinnoh remakes instead of jumping straight to Gen 9 for the 25th anniversary.First off, it was not planned for Gen 3 to be four years. Diamond and Pearl was delayed a year and was supposed to come out in 2005, and besides things were different back then. Back then Japan got the game a full year before the rest of the world did, as they took a year off to localize the new gen instead. They took 2003, 2007, and 2011 off to instead localize RS, DP, and BW respectively. Also, they've stuck hard to the three year gen, even to the point where we had two mainline games come out in the same year, with both Legends Arceus and SV coming out in 2022."
2024-02-11T18:50:07+0000,"Look, you can agree to disagree. But the way I see it, I'm thinking we're gonna get new versions of the Johto games on the Switch this year, then we'll get remakes of Black and White 1 for the rumored successor in 2025, then Gen. 10 in 2026 for the 30th anniversary."
2024-02-11T18:51:29+0000,"Except that argument doesn’t work considering the fact that Pokemon Sword and Shield had come out in 2019 so if they had released Scralet & Violet for the 25th anniversary in 2021 that would have meant that Gen 8 would have only lasted two years.Also sure they don’t have to release a new generation on the anniversary, however it something they would likely want to do, especially when you consider the fact releasing Gen 10 in 2025 would mean it’s only a year away from the 30th anniversary and few months away from the start.Also the anniversary that fall on interval of 10 are always a bigger deal then the ones that fall on intervals of 5.No matter how you try to argue it releasing and tieing Gen 10 to the 30th anniversary is going to be more marketable then really releasing any other game or DLC that year."
2024-02-11T19:06:23+0000,"Plus there's VGC and I don't know if people would want to be stuck using Scarlet and Violet for VGC for four years straight. Oh yeah, and all of the other pieces of the franchise like the anime and TCG depend on the usual three year cycle so that they can more quickly get new Pokémon to market and make merch out of."
2024-02-11T20:03:57+0000,This argument doesn’t work because they can easily release a new game that’s not Gen 10 in 2025 or if a main series game comes out this year then they can do DLC in 2025 to hold us over until Gen 10 in 2026.Also if they had no problem sticking the vgc  in Sword&Shield for 3 years having Scarlet & Violet be the VGC for 4 years isn’t going to make much of a difference.
2024-02-11T20:14:34+0000,"Not only would there be an extra year involved here, but also a completely new console. And besides, neither BDSP or Legends Arceus were fit for competitive play anyways. Legends Arceus didn't even have online battling or trading of any kind."
2024-02-11T20:18:06+0000,That really doesn’t as the first Pokémon main series for a new console doesn’t tend to come out until a year more after the new. Console has been released.Also BDSP and Legends Arceus being thing proves that they have no problem keeping the VGC in the same games for a while so an extra year isn’t going to make that much of a difference.
2024-02-11T20:22:22+0000,"It would just be stale and lead to lower interest compared to if they just put out Gen 10 in 2025 and have 2026 be the first VGC cycle for it. The only way it wouldn't be stale is if they released more SV DLC, which I highly doubt."
2024-02-11T20:30:56+0000,Not really again they had no problems keeping the Gen 8 VGC stuck in Sword&Shield for 3 years have Scarlet & Violet VGC around for 4 years isn’t going to make that much of a difference.
2024-02-11T21:41:02+0000,"Plus, if you recall, the pandemic affected Gen. 8's VGC."
2024-02-11T22:15:23+0000,"Yeah. Gen 8's VGC was heavily affected by COVID. There was no World Championships at all in either 2020 or 2021 due to the pandemic, so Sword and Shield really only had one year of VGC. Scarlet and Violet won't have that excuse."
2024-02-11T23:59:22+0000,I’d really like to see remakes for Black and White or a Legends game for Unova or Johto.
2024-02-12T01:46:08+0000,All I want for Pokemon Day 2024Switch ports of the Gen 1-7 gamesBlack 3 and White 3 (Set 15-20 years after Black 2 and White 2)A new Legends gameOne more DLC for Scarlet and Violet
2024-02-12T03:21:11+0000,"In the next 3-5years:BW trilogyGen 10Then after Gen 10, hopefully Pokémon take a break with new gens and just expand on the 10 regions we have by creating prequels or sequels. They can still introduce new Pokémon in each game just say we discovered new species whether completely new, regional variants, branch evo, or convergent species.Add new areas, new stories, new characters, new Pokémon, and even gimmicks to old regions. That would be a great way to expand the lore without creating a new Gen."
2024-02-13T16:48:12+0000,"Wild Unova speculation incoming""ThePokémon Company International have announced a special collaboration that will run in New York on Pokémon Day, February 27th. To celebrate both Pokémon Day and the release of Pokémon Horizons on March 7th, the landmark will be lit up in blue and yellow between sunset and 2am ESTAlongside this, there will be exclusive Timed Research in Pokémon GO for players nearby which gives Pikachu in a Party Hat, as well as event themed PokéStops and Lure Modules that will have a chance of attracting Unown"""
2024-02-13T17:11:47+0000,I'm still not thinking we're revisiting any past region at all.
